"stratum","ft_group","ecoregion","owner","treatment","period","age","AGB_tonac","AGB_MgHa","Vol_m3Ha","CarbonMgHa"
"Aspen-birch_ME_APH_Industrial","Aspen-birch","ME_APH","Industrial","untreated",2,10,5.469,12.3,1,5.5
"Aspen-birch_ME_APH_Industrial","Aspen-birch","ME_APH","Industrial","untreated",20,100,53.571,120.1,151.8,54
"Aspen-birch_ME_APH_Industrial","Aspen-birch","ME_APH","Industrial","untreated",21,105,54.701,122.6,155.6,55.2
"Aspen-birch_ME_APH_Industrial","Aspen-birch","ME_APH","Industrial","untreated",22,110,55.726,124.9,158.8,56.2
"Aspen-birch_ME_APH_Industrial","Aspen-birch","ME_APH","Industrial","untreated",23,115,56.655,127,161.6,57.1
"Aspen-birch_ME_APH_Industrial","Aspen-birch","ME_APH","Industrial","untreated",24,120,57.498,128.9,164,58
"Aspen-birch_ME_APH_Industrial","Aspen-birch","ME_APH","Industrial","untreated",25,125,58.261,130.6,166,58.8
"Aspen-birch_ME_APH_Industrial","Aspen-birch","ME_APH","Industrial","untreated",26,130,58.952,132.2,167.8,59.5
"Aspen-birch_ME_APH_Industrial","Aspen-birch","ME_APH","Industrial","untreated",27,135,59.577,133.6,169.3,60.1
"Aspen-birch_ME_APH_Industrial","Aspen-birch","ME_APH","Industrial","untreated",28,140,60.142,134.8,170.6,60.7
"Aspen-birch_ME_APH_Industrial","Aspen-birch","ME_APH","Industrial","untreated",29,145,60.654,136,171.7,61.2
"Aspen-birch_ME_APH_Industrial","Aspen-birch","ME_APH","Industrial","untreated",3,15,9.261,20.8,3.8,9.4
"Aspen-birch_ME_APH_Industrial","Aspen-birch","ME_APH","Industrial","untreated",30,150,61.116,137,172.6,61.6
"Aspen-birch_ME_APH_Industrial","Aspen-birch","ME_APH","Industrial","untreated",4,20,13.192,29.6,9.1,13.3
"Aspen-birch_ME_APH_Industrial","Aspen-birch","ME_APH","Industrial","untreated",5,25,17.103,38.3,16.8,17.2
"Aspen-birch_ME_APH_Industrial","Aspen-birch","ME_APH","Industrial","untreated",6,30,20.899,46.8,26.4,21.1
"Aspen-birch_ME_APH_Industrial","Aspen-birch","ME_APH","Industrial","untreated",7,35,24.527,55,37.5,24.8
"Aspen-birch_ME_APH_Industrial","Aspen-birch","ME_APH","Industrial","untreated",8,40,27.956,62.7,49.4,28.2
"Aspen-birch_ME_APH_Industrial","Aspen-birch","ME_APH","Industrial","untreated",9,45,31.17,69.9,61.6,31.5
